date;energy_consumption
1.01.2018;107920.8
2.01.2018;141148.8
3.01.2018;146570.4
4.01.2018;147513.6
5.01.2018;141847.2
6.01.2018;115459.2
7.01.2018;113004
8.01.2018;138780
9.01.2018;139802.4
10.01.2018;146412
11.01.2018;151668
12.01.2018;142963.2
13.01.2018;117043.2
14.01.2018;115329.6
15.01.2018;129578.4
16.01.2018;153619.2
17.01.2018;155390.4
18.01.2018;151819.2
19.01.2018;147765.6
20.01.2018;123321.6
21.01.2018;117331.2
22.01.2018;145310.4
23.01.2018;146188.8
24.01.2018;146757.6
25.01.2018;147484.8
26.01.2018;142999.2
27.01.2018;121456.8
28.01.2018;121212
29.01.2018;146541.6
30.01.2018;147240
31.01.2018;150393.6
1.02.2018;146952
2.02.2018;144561.6
3.02.2018;126216
4.02.2018;122263.2
5.02.2018;145216.8
6.02.2018;148168.8
7.02.2018;147254.4
8.02.2018;148932
9.02.2018;149810.4
10.02.2018;131443.2
11.02.2018;126669.6
12.02.2018;149911.2
13.02.2018;151509.6
14.02.2018;154785.6
15.02.2018;171907.2
16.02.2018;138146.4
17.02.2018;99763.2
18.02.2018;100929.6
19.02.2018;122464.8
20.02.2018;169963.2
21.02.2018;152028
22.02.2018;144597.6
23.02.2018;152373.6
24.02.2018;121600.8
25.02.2018;117072
26.02.2018;144403.2
27.02.2018;148860
28.02.2018;146736
1.03.2018;149176.8
2.03.2018;146584.8
3.03.2018;123847.2
4.03.2018;119044.8
5.03.2018;145166.4
6.03.2018;146188.8
7.03.2018;146052
8.03.2018;146016
9.03.2018;145612.8
10.03.2018;123055.2
11.03.2018;114984
12.03.2018;146440.8
13.03.2018;149709.6
14.03.2018;147549.6
15.03.2018;148082.4
16.03.2018;143251.2
17.03.2018;81748.8
18.03.2018;98935.2
19.03.2018;137152.8
20.03.2018;135720
21.03.2018;137541.6
22.03.2018;138700.8
23.03.2018;137325.6
24.03.2018;111240
25.03.2018;108316.8
26.03.2018;134064
27.03.2018;138931.2
28.03.2018;142005.6
29.03.2018;150249.6
30.03.2018;137721.6
31.03.2018;106660.8
1.04.2018;105897.6
2.04.2018;134560.8
3.04.2018;155239.2
4.04.2018;139636.8
5.04.2018;129549.6
6.04.2018;132768
7.04.2018;104428.8
8.04.2018;105256.8
9.04.2018;133725.6
10.04.2018;136656
11.04.2018;142336.8
12.04.2018;159732
13.04.2018;166017.6
14.04.2018;136893.6
15.04.2018;125208
16.04.2018;132883.2
17.04.2018;136252.8
18.04.2018;144640.8
19.04.2018;137102.4
20.04.2018;134424
21.04.2018;109000.8
22.04.2018;113407.2
23.04.2018;151077.6
24.04.2018;150573.6
25.04.2018;151898.4
26.04.2018;153748.8
27.04.2018;159609.6
28.04.2018;124632
29.04.2018;123976.8
30.04.2018;160063.2
1.05.2018;167738.4
2.05.2018;189928.8
3.05.2018;204199.2
4.05.2018;202032
5.05.2018;134568
6.05.2018;136044
7.05.2018;163771.2
8.05.2018;163231.2
9.05.2018;177696
10.05.2018;189100.8
11.05.2018;193644
12.05.2018;165729.6
13.05.2018;161445.6
14.05.2018;238348.8
15.05.2018;227426.4
16.05.2018;217951.2
17.05.2018;210715.2
18.05.2018;204732
19.05.2018;181303.2
20.05.2018;178387.2
21.05.2018;213372
22.05.2018;225619.2
23.05.2018;186141.6
24.05.2018;180453.6
25.05.2018;189446.4
26.05.2018;181382.4
27.05.2018;188294.4
28.05.2018;193960.8
29.05.2018;243331.2
30.05.2018;251352
31.05.2018;246686.4
1.06.2018;232502.4
2.06.2018;194652
3.06.2018;188870.4
4.06.2018;186847.2
5.06.2018;180619.2
6.06.2018;171460.8
7.06.2018;193521.6
8.06.2018;228412.8
9.06.2018;191016
10.06.2018;186372
11.06.2018;228787.2
12.06.2018;231436.8
13.06.2018;240660
14.06.2018;186588
15.06.2018;200649.6
16.06.2018;200966.4
17.06.2018;158320.8
18.06.2018;271792.8
19.06.2018;274543.2
20.06.2018;253713.6
21.06.2018;246297.6
22.06.2018;229010.4
23.06.2018;185983.2
24.06.2018;184435.2
25.06.2018;209628
26.06.2018;219513.6
27.06.2018;233604
28.06.2018;229744.8
29.06.2018;245167.2
30.06.2018;220478.4
1.07.2018;223588.8
2.07.2018;247536
3.07.2018;241120.8
4.07.2018;215136
5.07.2018;248731.2
6.07.2018;191361.6
7.07.2018;130147.2
8.07.2018;134272.8
9.07.2018;187833.6
10.07.2018;209448
11.07.2018;182066.4
12.07.2018;160495.2
13.07.2018;173311.2
14.07.2018;170136
15.07.2018;230932.8
16.07.2018;254476.8
17.07.2018;190022.4
18.07.2018;170107.2
19.07.2018;180972
20.07.2018;199260
21.07.2018;198518.4
22.07.2018;196401.6
23.07.2018;202312.8
24.07.2018;212054.4
25.07.2018;226396.8
26.07.2018;227750.4
27.07.2018;205819.2
28.07.2018;166320
29.07.2018;172058.4
30.07.2018;222876
31.07.2018;234115.2
1.08.2018;221349.6
2.08.2018;229658.4
3.08.2018;234388.8
4.08.2018;215056.8
5.08.2018;213674.4
6.08.2018;254620.8
7.08.2018;233344.8
8.08.2018;214135.2
9.08.2018;224272.8
10.08.2018;254304
11.08.2018;213753.6
12.08.2018;190008
13.08.2018;230097.6
14.08.2018;236059.2
15.08.2018;253238.4
16.08.2018;252799.2
17.08.2018;261813.6
18.08.2018;205624.8
19.08.2018;196941.6
20.08.2018;234216
21.08.2018;224467.2
22.08.2018;193694.4
23.08.2018;164764.8
24.08.2018;173815.2
25.08.2018;172022.4
26.08.2018;211680
27.08.2018;277898.4
28.08.2018;282981.6
29.08.2018;267703.2
30.08.2018;235555.2
31.08.2018;212572.8
1.09.2018;189871.2
2.09.2018;195098.4
3.09.2018;198979.2
4.09.2018;271612.8
5.09.2018;271641.6
6.09.2018;256492.8
7.09.2018;252885.6
8.09.2018;193752
9.09.2018;165715.2
10.09.2018;173203.2
11.09.2018;165564
12.09.2018;181058.4
13.09.2018;199216.8
14.09.2018;218656.8
15.09.2018;188726.4
16.09.2018;176436
17.09.2018;224359.2
18.09.2018;226353.6
19.09.2018;232747.2
20.09.2018;252302.4
21.09.2018;243640.8
22.09.2018;138830.4
23.09.2018;136058.4
24.09.2018;196459.2
25.09.2018;223322.4
26.09.2018;198756
27.09.2018;160495.2
28.09.2018;159415.2
29.09.2018;137368.8
30.09.2018;140277.6
1.10.2018;220831.2
2.10.2018;254404.8
3.10.2018;251719.2
4.10.2018;251481.6
5.10.2018;248752.8
6.10.2018;233697.6
7.10.2018;241444.8
8.10.2018;274003.2
9.10.2018;229881.6
10.10.2018;238449.6
11.10.2018;204789.6
12.10.2018;171662.4
13.10.2018;147585.6
14.10.2018;147355.2
15.10.2018;180439.2
16.10.2018;173323.2
17.10.2018;176001.6
18.10.2018;176179.2
19.10.2018;176841.6
20.10.2018;145684.8
21.10.2018;140539.2
22.10.2018;159451.2
23.10.2018;170697.6
24.10.2018;168530.4
25.10.2018;169718.4
26.10.2018;168796.8
27.10.2018;147960
28.10.2018;151617.6
29.10.2018;176450.4
30.10.2018;185803.2
31.10.2018;212479.2
1.11.2018;185112
2.11.2018;164030.4
3.11.2018;143503.2
4.11.2018;149508
5.11.2018;181965.6
6.11.2018;190490.4
7.11.2018;169365.6
8.11.2018;161827.2
9.11.2018;160380
10.11.2018;144655.2
11.11.2018;140054.4
12.11.2018;168595.2
13.11.2018;168696
14.11.2018;168724.8
15.11.2018;167976
16.11.2018;168573.6
17.11.2018;143755.2
18.11.2018;142243.2
19.11.2018;167752.8
20.11.2018;168832.8
21.11.2018;165398.4
22.11.2018;140018.4
23.11.2018;141336
24.11.2018;141948
25.11.2018;142135.2
26.11.2018;170438.4
27.11.2018;170402.4
28.11.2018;174319.2
29.11.2018;174355.2
30.11.2018;170308.8
1.12.2018;139356
2.12.2018;157824
3.12.2018;186400.8
4.12.2018;185047.2
5.12.2018;179625.6
6.12.2018;176558.4
7.12.2018;178106.4
8.12.2018;160228.8
9.12.2018;158587.2
10.12.2018;179985.6
11.12.2018;177897.6
12.12.2018;178142.4
13.12.2018;171993.6
14.12.2018;171633.6
15.12.2018;142401.6
16.12.2018;140169.6
17.12.2018;170208
18.12.2018;171900
19.12.2018;170128.8
20.12.2018;166377.6
21.12.2018;164851.2
22.12.2018;141264
23.12.2018;138888
24.12.2018;140695.2
25.12.2018;139622.4
26.12.2018;164721.6
27.12.2018;163468.8
28.12.2018;173160
29.12.2018;140659.2
30.12.2018;138398.4
