Account,Date,year,month,day,Channel,Units,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,day_energy,SUM
6930212101,"Monday, January 1, 2018",2018,1,1, Fahren,Fahren,-5.8,1.4,1.4,1.4,-0.4,-2.2,-4,-7.6,-5.8,-2.2,-0.4,1.4,3.2,3.2,3.2,3.2,1.4,-0.4,1.4,-4,-5.8,-5.8,-4,-5.8,-33,
6930212101,"Monday, January 1, 2018",2018,1,1, RH,RH,91.58,91.87,91.87,91.87,91.8,84.06,83.93,91.5,83.79,84.06,77.17,77.35,77.53,77.53,77.53,71.11,64.92,64.66,70.89,70.21,76.61,76.61,70.21,76.61,1915.27,
6930212101,"Monday, January 1, 2018",2018,1,1,104895486 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,0,
6930212101,"Monday, January 1, 2018",2018,1,1,104895486 2,kVARh,,,,,,,,,,,,,,,,,,,,,,,,,0,
6930212101,"Monday, January 1, 2018",2018,1,1,106119542 1 kWh,kWh,,,,,,,,,,,,,,,,,,,,,,,,,0,
6930212101,"Monday, January 1, 2018",2018,1,1,106119542 1 Power Factor,Power Factor,89.871024,89.727335,89.813735,89.645464,89.880879,89.702885,89.992184,89.558498,89.469486,89.295696,89.750705,89.951003,90.147545,89.951425,89.841677,90.029557,90.227023,90.595481,90.577348,90.653907,90.120035,89.898755,89.83419,89.894498,2158.430335,
6930212101,"Monday, January 1, 2018",2018,1,1,106119542 2,kVARh,,,,,,,,,,,,,,,,,,,,,,,,,0,
6930212101,"Monday, January 1, 2018",2018,1,1,106152381 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,0,
6930212101,"Monday, January 1, 2018",2018,1,1,106152381 2,kVARh,,,,,,,,,,,,,,,,,,,,,,,,,0,
6930212101,"Monday, January 1, 2018",2018,1,1,106152383 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,0,
6930212101,"Monday, January 1, 2018",2018,1,1,106152383 2,kVARh,,,,,,,,,,,,,,,,,,,,,,,,,0,
6930212101,"Monday, January 1, 2018",2018,1,1,106959544 1,kWh,2872.8,2894.4,2887.2,2815.2,2779.2,2800.8,2836.8,2880,2880,2836.8,2937.6,2901.6,2908.8,2894.4,2880,2959.2,2944.8,2901.6,2980.8,3002.4,2937.6,2944.8,3009.6,2959.2,69645.6,107920.8
6930212101,"Monday, January 1, 2018",2018,1,1,106959544 2,kVARh,1684.8,1699.2,1684.8,1663.2,1627.2,1648.8,1648.8,1692,1692,1684.8,1699.2,1670.4,1656,1663.2,1663.2,1684.8,1663.2,1620,1656,1656,1656,1656,1692,1656,40017.6,
6930212101,"Monday, January 1, 2018",2018,1,1,108209523 1,kWh,1612.8,1612.8,1598.4,1598.4,1605.6,1598.4,1591.2,1569.6,1548,1562.4,1591.2,1620,1620,1627.2,1612.8,1612.8,1605.6,1612.8,1605.6,1605.6,1584,1548,1569.6,1562.4,38275.2,0
6930212101,"Monday, January 1, 2018",2018,1,1,108209523 2,kVARh,504,518.4,511.2,518.4,511.2,518.4,496.8,518.4,518.4,532.8,525.6,525.6,518.4,532.8,532.8,525.6,511.2,489.6,489.6,489.6,518.4,532.8,547.2,547.2,12434.4,
6930212101,"Monday, January 1, 2018",2018,1,1,108209525 1,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6930212101,"Monday, January 1, 2018",2018,1,1,108209525 2,kVARh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
