Date,Temperature,Humidity,energy_consumption
2018-01-01 12:00:00 AM,-5.8,91.58,4485.6
2018-01-01 1:00:00 AM,1.4,91.87,4507.2
2018-01-01 2:00:00 AM,1.4,91.87,4485.6
2018-01-01 3:00:00 AM,1.4,91.87,4413.6
2018-01-01 4:00:00 AM,-0.4,91.8,4384.8
2018-01-01 5:00:00 AM,-2.2,84.06,4399.2
2018-01-01 6:00:00 AM,-4,83.93,4428
2018-01-01 7:00:00 AM,-7.6,91.5,4449.6
2018-01-01 8:00:00 AM,-5.8,83.79,4428
2018-01-01 9:00:00 AM,-2.2,84.06,4399.2
2018-01-01 10:00:00 AM,-0.4,77.17,4528.8
2018-01-01 11:00:00 AM,1.4,77.35,4521.6
2018-01-01 12:00:00 PM,3.2,77.53,4528.8
2018-01-01 1:00:00 PM,3.2,77.53,4521.6
2018-01-01 2:00:00 PM,3.2,77.53,4492.8
2018-01-01 3:00:00 PM,3.2,71.11,4572
2018-01-01 4:00:00 PM,1.4,64.92,4550.4
2018-01-01 5:00:00 PM,-0.4,64.66,4514.4
2018-01-01 6:00:00 PM,1.4,70.89,4586.4
2018-01-01 7:00:00 PM,-4,70.21,4608
2018-01-01 8:00:00 PM,-5.8,76.61,4521.6
2018-01-01 9:00:00 PM,-5.8,76.61,4492.8
2018-01-01 10:00:00 PM,-4,70.21,4579.2
2018-01-01 11:00:00 PM,-5.8,76.61,4521.6
2018-01-02 12:00:00 AM,-9.4,76.22,4327.2
2018-01-02 1:00:00 AM,-9.4,69.51,4514.4
2018-01-02 2:00:00 AM,-11.2,76.03,4593.6
2018-01-02 3:00:00 AM,-11.2,76.03,4665.6
2018-01-02 4:00:00 AM,-9.4,76.22,4586.4
2018-01-02 5:00:00 AM,-9.4,76.22,5472
2018-01-02 6:00:00 AM,-11.2,83.37,6760.8
2018-01-02 7:00:00 AM,-11.2,83.37,6732
2018-01-02 8:00:00 AM,-9.4,76.22,6552
2018-01-02 9:00:00 AM,-7.6,83.65,6494.4
2018-01-02 10:00:00 AM,-2.2,70.44,6631.2
2018-01-02 11:00:00 AM,-0.4,70.67,6667.2
2018-01-02 12:00:00 PM,3.2,65.18,6631.2
2018-01-02 1:00:00 PM,5,65.43,6609.6
2018-01-02 2:00:00 PM,6.8,65.68,6818.4
2018-01-02 3:00:00 PM,8.6,60.52,6660
2018-01-02 4:00:00 PM,8.6,60.52,6667.2
2018-01-02 5:00:00 PM,6.8,60.25,7027.2
2018-01-02 6:00:00 PM,1.4,70.89,6062.4
2018-01-02 7:00:00 PM,3.2,65.18,5486.4
2018-01-02 8:00:00 PM,1.4,70.89,5328
2018-01-02 9:00:00 PM,5,65.43,5205.6
2018-01-02 10:00:00 PM,5,71.33,5328
2018-01-02 11:00:00 PM,6.8,65.68,5328
2018-01-03 12:00:00 AM,6.8,65.68,5270.4
2018-01-03 1:00:00 AM,1.4,77.35,5256
2018-01-03 2:00:00 AM,3.2,77.53,5220
2018-01-03 3:00:00 AM,3.2,77.53,5119.2
2018-01-03 4:00:00 AM,5,71.33,5090.4
2018-01-03 5:00:00 AM,5,71.33,5457.6
2018-01-03 6:00:00 AM,5,77.71,6458.4
2018-01-03 7:00:00 AM,6.8,65.68,6638.4
2018-01-03 8:00:00 AM,6.8,71.55,6796.8
2018-01-03 9:00:00 AM,10.4,66.18,6883.2
2018-01-03 10:00:00 AM,12.2,66.42,7567.2
2018-01-03 11:00:00 AM,15.8,61.6,7077.6
2018-01-03 12:00:00 PM,17.6,61.86,6832.8
2018-01-03 1:00:00 PM,17.6,67.14,6782.4
2018-01-03 2:00:00 PM,19.4,67.37,6775.2
2018-01-03 3:00:00 PM,17.6,72.81,6703.2
2018-01-03 4:00:00 PM,17.6,78.9,6573.6
2018-01-03 5:00:00 PM,15.8,85.33,6328.8
2018-01-03 6:00:00 PM,15.8,85.33,5961.6
2018-01-03 7:00:00 PM,15.8,72.61,5666.4
2018-01-03 8:00:00 PM,15.8,72.61,5536.8
2018-01-03 9:00:00 PM,14,78.57,5364
